"","topic","term","beta"
"653",13,"find",0.0043312928398503
"654",14,"find",0.0103237762283717
"655",15,"find",5.52904684761394e-06
"656",16,"find",0.0159870769690664
"657",17,"find",5.4787615807323e-06
"658",18,"find",5.98146940777471e-06
"659",19,"find",0.0304491720067759
"660",20,"find",0.00046860665421449
"661",1,"github",0.00223000562134381
"662",2,"github",6.11459983001412e-06
"663",3,"github",6.57838474341011e-06
"664",4,"github",6.24949222875641e-06
"665",5,"github",5.15748376681984e-06
"666",6,"github",4.90838499408539e-06
"667",7,"github",6.06123055102647e-06
"668",8,"github",6.61056500499098e-06
"669",9,"github",5.57621854315714e-06
"670",10,"github",6.68721465351109e-05
"671",11,"github",5.3861027776132e-06
"672",12,"github",4.67567201095977e-06
"673",13,"github",6.00734097066616e-06
"674",14,"github",0.00519803118818713
"675",15,"github",5.52904684761394e-06
"676",16,"github",5.74867924094439e-06
"677",17,"github",5.4787615807323e-06
"678",18,"github",5.98146940777471e-06
"679",19,"github",6.02834527950423e-06
"680",20,"github",0.000138601968147948
"681",1,"sure",6.79503097916396e-05
"682",2,"sure",6.11459983001412e-06
"683",3,"sure",6.57838474341011e-06
"684",4,"sure",0.000756188559679526
"685",5,"sure",0.00170712712681737
"686",6,"sure",4.90838499408539e-06
"687",7,"sure",6.06123055102647e-06
"688",8,"sure",6.61056500499098e-06
"689",9,"sure",0.00357435608616373
"690",10,"sure",0.000857179332859149
"691",11,"sure",5.3861027776132e-06
"692",12,"sure",4.67567201095977e-06
"693",13,"sure",0.00913716561638322
"694",14,"sure",0.00105800634803809
"695",15,"sure",0.0102895561834095
"696",16,"sure",5.74867924094439e-06
"697",17,"sure",0.00225177100968097
"698",18,"sure",0.000783572492418488
"699",19,"sure",0.0109776167539772
"700",20,"sure",0.000930613214707649
"701",1,"advantage",6.17730089014906e-06
"702",2,"advantage",6.11459983001412e-06
"703",3,"advantage",7.23622321775112e-05
"704",4,"advantage",6.24949222875641e-06
"705",5,"advantage",5.15748376681984e-06
"706",6,"advantage",0.000103076084875793
"707",7,"advantage",0.00224871653443082
"708",8,"advantage",6.61056500499098e-06
"709",9,"advantage",5.57621854315714e-06
"710",10,"advantage",0.00018845786750804
"711",11,"advantage",5.3861027776132e-06
"712",12,"advantage",0.00673764336779303
"713",13,"advantage",6.00734097066616e-06
"714",14,"advantage",6.57146800023657e-06
"715",15,"advantage",5.52904684761394e-06
"716",16,"advantage",0.00253516754525648
"717",17,"advantage",6.02663773880552e-05
"718",18,"advantage",5.98146940777471e-06
"719",19,"advantage",0.000247162156459674
"720",20,"advantage",0.00112861602634757
"721",1,"disadvantage",6.17730089014906e-06
"722",2,"disadvantage",6.11459983001412e-06
"723",3,"disadvantage",6.57838474341011e-06
"724",4,"disadvantage",6.24949222875641e-06
